Details1,Details2,Trigger,Description,ParticipantIDs,Electrode,X_position,Y_position,OutlineX,OutlineY,NoseX,NoseY,LearX,LearY,RearX,RearY
,,,,,O1,-0.1234,-0.3378,-0.4045,-0.2939,,,,,,
,,,,,OZ,0.0008,-0.3356,-0.3853,-0.3187,,,,,,
,,,,,O2,0.1257,-0.3361,-0.3645,-0.3423,,,,,,
,,,,,AF8,0.25,0.4,-0.3423,-0.3645,,,,,,
,,,,,AFZ,0,0.35,-0.3187,-0.3853,,,,,,
,,,,,SCALE,0.45,-0.45,-0.2939,-0.4045,,,,,,
,,,,,,,,-0.2679,-0.4222,,,,,,
,,,,,,,,-0.2409,-0.4382,,,,,,
,,,,,,,,-0.2129,-0.4524,,,,,,
,,,,,,,,-0.1841,-0.4649,,,,,,
,,,,,,,,-0.1545,-0.4755,,,,,,
,,,,,,,,-0.1243,-0.4843,,,,,,
,,,,,,,,-0.0937,-0.4911,,,,,,
,,,,,,,,-0.0627,-0.4961,,,,,,
,,,,,,,,-0.0314,-0.499,,,,,,
,,,,,,,,0,-0.5,,,,,,
,,,,,,,,0.0314,-0.499,,,,,,
,,,,,,,,0.0627,-0.4961,,,,,,
,,,,,,,,0.0937,-0.4911,,,,,,
,,,,,,,,0.1243,-0.4843,,,,,,
,,,,,,,,0.1545,-0.4755,,,,,,
,,,,,,,,0.1841,-0.4649,,,,,,
,,,,,,,,0.2129,-0.4524,,,,,,
,,,,,,,,0.2409,-0.4382,,,,,,
,,,,,,,,0.2679,-0.4222,,,,,,
,,,,,,,,0.2939,-0.4045,,,,,,
,,,,,,,,0.3187,-0.3853,,,,,,
,,,,,,,,0.3423,-0.3645,,,,,,
,,,,,,,,0.3645,-0.3423,,,,,,
,,,,,,,,0.3853,-0.3187,,,,,,
,,,,,,,,0.4045,-0.2939,,,,,,
,,,,,,,,0.4222,-0.2679,,,,,,
,,,,,,,,0.4382,-0.2409,,,,,,
,,,,,,,,0.4524,-0.2129,,,,,,
,,,,,,,,0.4649,-0.1841,,,,,,
,,,,,,,,0.4755,-0.1545,,,,,,
,,,,,,,,0.4843,-0.1243,,,,,,
,,,,,,,,0.4911,-0.0937,,,,,,
,,,,,,,,0.4961,-0.0627,,,,,,
,,,,,,,,0.499,-0.0314,,,,,,
,,,,,,,,0.5,0,,,,,,
